userID,QuestionID,Choice,Trust,Interaction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,12,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,31,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,20,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,16,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,15,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,19,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,34,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,9,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,26,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,2,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,6,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,1,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,28,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,40,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,17,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,3,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,30,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,5,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,35,SomeChoice,SomeTrust,SomeInteraction
da67a4e8-0db4-4f70-a62a-0f5abce04b14,4,SomeChoice,SomeTrust,SomeInteraction
