userID,QuestionID,Choice,Trust,Interaction
1650642e-f97c-4b0a-9537-a0d29ca48064,39,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,31,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,22,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,26,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,34,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,8,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,24,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,11,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,38,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,9,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,2,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,6,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,10,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,35,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,33,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,36,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,30,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,3,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,27,SomeChoice,SomeTrust,SomeInteraction
1650642e-f97c-4b0a-9537-a0d29ca48064,25,SomeChoice,SomeTrust,SomeInteraction
