userID,studyType,QuestionID,Choice,Trust,Interaction
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,31,Nvidia,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,23,Nvidia,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,19,Nvidia,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,13,Nvidia,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,20,Nvidia,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,28,Nvidia,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,16,Nvidia,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,36,Nvidia,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,32,Nvidia,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,30,Nvidia,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,5,Intel,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,24,Intel,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,34,Intel,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,27,Intel,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,26,Intel,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,1,Intel,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,10,Intel,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,4,Amazon,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,2,Amazon,1,0
c36a3163-fc31-4eb6-a0a9-96cbdc19dc07,NoSources,29,Amazon,1,0
