userID,studyType,QuestionID,Choice,Trust,Interaction
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,17,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,14,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,13,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,31,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,37,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,6,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,30,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,12,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,27,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,23,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,40,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,4,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,34,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,7,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,38,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,16,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,21,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,22,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,28,SomeChoice,SomeTrust,0
9fd8b24d-427b-4a4a-bef6-377593e6df9a,NoSources,33,SomeChoice,SomeTrust,0
