userID,QuestionID,Choice,Trust,Interaction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,35,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,31,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,30,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,16,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,24,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,22,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,27,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,23,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,19,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,7,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,6,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,4,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,39,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,32,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,29,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,25,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,21,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,36,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,15,SomeChoice,SomeTrust,SomeInteraction
cb81b52a-7a17-4cd8-be99-f98bca8e773c,17,SomeChoice,SomeTrust,SomeInteraction
