userID,studyType,QuestionID,Choice,Trust,Interaction
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,36,Nvidia,1,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,35,Nvidia,1,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,29,Nvidia,1,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,13,Nvidia,1,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,23,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,11,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,4,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,32,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,22,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,16,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,31,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,40,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,30,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,28,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,27,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,33,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,24,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,26,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,7,SomeChoice,SomeTrust,0
c582311a-8664-4a44-a13d-1f1b42c8d9bb,SingleSource,25,SomeChoice,SomeTrust,0
